OBJECTID,Crop2014,Acres,County,Comments,Source,Modified_B,Date_Data_,Last_Modif,DWR_Standa,GlobalID,Shape_Leng,Shape_Area,_count,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,_variance
39,Grapes,28.542731060000001,Kern,,"Land IQ, LLC",Zhongwu Wang,"July, 2014",2017/05/07 00:00:00.000,V | VINEYARD,{50173F18-1152-434E-B829-16C6EC1D1B62},1572.980598278364141,115508.334510546847014,126,897,7.11904761904762,8,1.91736899288459,2,8,6,2,8,"3",3.67630385487528
337,Grapes,18.493339960000000,Kern,,"Land IQ, LLC",Zhongwu Wang,"July, 2014",2017/05/07 00:00:00.000,V | VINEYARD,{458CA650-5228-45B4-8F77-A84571C8B12C},1166.281562427411245,74839.891593118140008,80,150,1.875,2,0.330718913883074,1,2,1,1,2,"2",0.109375
463,Idle,79.610103670000001,Fresno,,"Land IQ, LLC",Zhongwu Wang,"July, 2014",2017/05/07 00:00:00.000,I | IDLE,{1C7D44D8-7A24-4A99-B8C2-CD137E899C10},2392.911934611867764,322170.659325205604546,364,671,1.84340659340659,2,0.363416994105776,1,2,1,1,2,"2",0.132071911604878
506,Tomatoes,27.083926559999998,Fresno,,"Land IQ, LLC",Zhongwu Wang,"July, 2014",2017/05/07 00:00:00.000,T | TRUCK NURSERY AND BERRY CROPS,{D291C149-50A3-4B1A-B802-B093E4E2A08F},1365.121425512785208,109604.762148678244557,120,713,5.94166666666667,6,0.348707932548461,3,6,3,3,6,"4",0.121597222222222
617,Pistachios,179.159539260000003,Fresno,,"Land IQ, LLC",Zhongwu Wang,"July, 2014",2017/05/07 00:00:00.000,D | DECIDUOUS FRUITS AND NUTS,{3E232A08-5569-4036-995A-362F68836AA4},3893.847847073074718,725032.932086823158897,180,180,1,1,0,1,1,0,1,1,"1",0
670,Grapes,18.445799390000001,Kern,,"Land IQ, LLC",Zhongwu Wang,"July, 2014",2017/05/07 00:00:00.000,V | VINEYARD,{152AB833-BF5D-477C-A4AD-17FD5C9CC541},1787.101742191984613,74647.501710639378871,79,252,3.18987341772152,3,1.7579904333425,1,7,6,1,2,"7",3.09053036372376
743,Grapes,14.208003800000000,Kern,,"Land IQ, LLC",Zhongwu Wang,"July, 2014",2017/05/07 00:00:00.000,V | VINEYARD,{2107438C-825C-4F6D-B38E-8143A9C0039C},1127.513524905599979,57497.751423776411684,63,157,2.49206349206349,2,0.499937007873766,2,3,1,3,2,"2",0.249937011841774
749,Almonds,38.123267220000002,Kern,,"Land IQ, LLC",Zhongwu Wang,"July, 2014",2017/05/07 00:00:00.000,D | DECIDUOUS FRUITS AND NUTS,{C4FFAFBB-F9C9-4B84-96C2-277D510E630F},1981.227172354745335,154279.388805155409500,168,684,4.07142857142857,3,1.8373487257829,2,7,5,2,3,"3",3.37585034013605
862,Idle,77.829020889999995,Tulare,,"Land IQ, LLC",Zhongwu Wang,"July, 2014",2017/05/07 00:00:00.000,I | IDLE,{D5407D80-4857-4D61-B312-2C6031B14D8B},2370.079618315002790,314962.873029892449267,26,50,1.92307692307692,1,1.43909899491305,1,6,5,3,1,"6",2.07100591715976
926,Almonds,25.283746229999998,Kern,,"Land IQ, LLC",Zhongwu Wang,"July, 2014",2017/05/07 00:00:00.000,D | DECIDUOUS FRUITS AND NUTS,{D4DA245E-EEF4-40AC-AC18-E8CE4C6C72C0},1401.051802327988526,102319.690810378859169,115,328,2.85217391304348,3,0.91597871876617,2,8,6,4,3,"5",0.839017013232515
992,Grapes,18.701255620000001,Kern,,"Land IQ, LLC",Zhongwu Wang,"July, 2014",2017/05/07 00:00:00.000,V | VINEYARD,{B86BE9E1-F184-4C9E-A02C-EA33479A095C},1169.389812610480249,75681.296424483880401,84,174,2.07142857142857,2,0.300226671736155,2,4,2,4,2,"3",0.090136054421769
1142,Wheat,38.439489450000004,Kern,,"Land IQ, LLC",Zhongwu Wang,"July, 2014",2017/05/07 00:00:00.000,G | GRAIN AND HAY CROPS,{FC8ABB2F-6AE9-4A1F-9D0B-C7D76FE4F41F},1567.704734638121636,155559.094765766203636,176,1192,6.77272727272727,7,0.92597949033924,3,7,4,3,7,"2",0.857438016528918
